target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
FHOD1,517,0.3835928237129485,driver_antagonize,Stim48hr,0.7127632,0.8252730109204368,0.0,0.15,0.5,-0.65027326,-4.178856,0.0025922442989034047,-15.107122801996375,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000135723
SAMTOR,518,0.38341601664066566,driver_antagonize,Stim48hr,0.62197965,0.8247529901196048,0.0,0.15,0.5,-0.66973525,-4.1779647,0.0025922442989034047,-11.802199945648686,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000164603
TMCO6,519,0.3832392095683828,brake_agonize,Rest,0.75731623,0.8242329693187728,0.0,0.15,0.5,0.5256256,4.17599,0.0032512336845322036,-4.687128117680671,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000113119
UNC50,520,0.38306240249609985,driver_antagonize,Stim48hr,0.99530387,0.8237129485179407,0.0,0.15,0.5,-0.56135726,-4.1718683,0.0026419596144634846,-2.7626855637375205,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000115446
TRIM38,521,0.38270878835153416,brake_agonize,Stim8hr,0.46057737,0.8226729069162767,0.0,0.15,0.5,0.545068,4.1713476,0.0013826008664839632,-14.99904012765063,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000112343
CLSTN3,522,0.3821783671346854,driver_antagonize,Stim8hr,0.6143282,0.8211128445137805,0.0,0.15,0.5,-0.5971668,-4.1610236,0.0014408564026994774,-4.358596829154258,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000139182
PLCL2,523,0.38189091846590056,brake_agonize,Stim8hr,0.6287323,0.0530421216848674,0.8695219903101522,0.15,0.5,0.4021926,2.816418,0.0415236214039204,-11.276214999778748,strong,0.8695219903101522,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000154822
PHTF1,524,0.3816745793129099,brake_agonize,Stim8hr,0.52403986,0.1315652626105044,0.7798079667511278,0.15,0.5,0.44066513,2.9409418,0.03242335588523246,-10.952179212992226,strong,0.7798079667511278,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000116793
FANCB,525,0.38164794591783674,brake_agonize,Rest,0.6265863,0.8195527821112845,0.0,0.15,0.5,0.78494364,4.156482,0.0034413137811350326,-6.143749187791919,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000181544
PSMF1,526,0.3814711388455539,brake_agonize,Stim48hr,0.6287105,0.8190327613104524,0.0,0.15,0.5,0.70685464,4.1555057,0.002752978880950314,-35.34057125099559,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000125818
CATSPERG,527,0.38094071762870513,driver_antagonize,Rest,0.9232205,0.8174726989079563,0.0,0.15,0.5,-0.6018684,-4.145513,0.003560380244903127,-2.890175615232996,none,0.0,False,,,,,,ion_channel,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000099338
ACVR1C,528,0.38058710348413943,brake_agonize,Rest,0.7974387,0.8164326573062922,0.0,0.15,0.5,0.56752354,4.144419,0.003560380244903127,-3.784395379438656,none,0.0,False,,,,,,catalytic_receptor,antibody/biologic (surface),class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000123612
HIC2,529,0.3804102964118565,driver_antagonize,Rest,0.61577106,0.8159126365054602,0.0,0.15,0.5,-0.5753335,-4.1402216,0.003592895250885869,-2.434134833713609,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000169635
PVR,530,0.3802858992715023,driver_antagonize,Rest,0.70206285,0.36453458138325534,0.5111471386706514,0.15,0.5,-0.3586205,-3.202258,0.03774608655842596,-3.294193227181062,strong,0.5111471386706514,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000073008
PLOD3,531,0.3802334893395736,driver_antagonize,Stim8hr,0.7082833,0.8153926157046282,0.0,0.15,0.5,-0.62629426,-4.1355557,0.0015546204519839458,-1.9736816072546983,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000106397
POR,532,0.379703068122725,driver_antagonize,Stim8hr,0.43600345,0.8138325533021321,0.0,0.15,0.5,-0.6230642,-4.1311297,0.0015550717934922106,-10.930566984796895,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000127948
ASPH,533,0.37967389910314736,brake_agonize,Stim8hr,0.6392113,0.3463338533541342,0.5297346298758058,0.15,0.5,0.40764496,3.1815767,0.019329714607671696,-8.671964525802874,strong,0.5297346298758058,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000198363
CUL7,534,0.379526261050442,driver_antagonize,Stim8hr,0.43281764,0.8133125325013001,0.0,0.15,0.5,-0.57125014,-4.131113,0.0015550717934922106,-3.2167221219058275,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000044090
IFT20,535,0.37934945397815917,brake_agonize,Stim48hr,0.58207315,0.8127925117004681,0.0,0.15,0.5,0.629663,4.125899,0.0030284819312165682,-17.799968583813914,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000109083
VAMP1,536,0.3791726469058762,driver_antagonize,Stim48hr,0.5515191,0.8122724908996359,0.0,0.15,0.5,-0.694352,-4.1251626,0.0030284819312165682,-13.239632538314876,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000139190
LAMTOR1,537,0.37899583983359336,driver_antagonize,Stim8hr,0.78515035,0.8117524700988039,0.0,0.15,0.5,-0.60707104,-4.1238694,0.0015987873014540561,-11.142699911770151,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000149357
KAT14,538,0.3788190327613105,brake_agonize,Stim8hr,0.6565733,0.8112324492979719,0.0,0.15,0.5,0.9713022,4.1209087,0.0016134093760029767,-4.887819618099202,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000149474
CISD1,539,0.37865432331799515,driver_antagonize,Stim48hr,0.6659821,0.45605824232969316,0.401981736419665,0.15,0.5,-0.51565945,-3.3187034,0.021799430378029058,-20.420151388705445,moderate,0.401981736419665,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000122873
CAMK1,540,0.37864222568902756,driver_antagonize,Stim48hr,0.39156878,0.8107124284971399,0.0,0.15,0.5,-0.7011678,-4.120158,0.003051277843712163,-10.879698110229633,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000134072
JMY,541,0.37828861154446186,driver_antagonize,Stim8hr,0.77891475,0.8096723868954758,0.0,0.15,0.5,-0.6581089,-4.11522,0.0016475515746764583,-8.343528320196192,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000152409
FAHD2A,542,0.3781118044721789,driver_antagonize,Stim48hr,0.423756,0.8091523660946438,0.0,0.15,0.5,-0.61431175,-4.113529,0.003105402310747463,-3.4762488504258875,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000115042
APOL6,543,0.37793499739989606,brake_agonize,Stim48hr,0.5916227,0.8086323452938118,0.0,0.15,0.5,0.65287924,4.1127973,0.003105402310747463,-17.060136035516894,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000221963
SVBP,544,0.3777581903276131,driver_antagonize,Stim48hr,0.6370237,0.8081123244929798,0.0,0.15,0.5,-0.5886642,-4.105567,0.0031520772436763197,-9.320431877874611,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000177868
SLC25A46,545,0.3777463486254499,driver_antagonize,Stim8hr,0.7297677,0.07332293291731669,0.8327218381118741,0.15,0.5,-0.39594224,-2.8685553,0.03715799439658188,-19.794599892961585,strong,0.8327218381118741,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,3,ENSG00000164209
TBC1D13,546,0.3774045761830473,driver_antagonize,Stim48hr,0.6892322,0.8070722828913156,0.0,0.15,0.5,-0.52411485,-4.104522,0.0031520772436763197,-8.815401252688956,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000107021
B3GALT4,547,0.37722776911076444,driver_antagonize,Stim48hr,0.53819025,0.8065522620904836,0.0,0.15,0.5,-0.5945644,-4.10247,0.0031583941788977605,-5.190538502887079,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000235863
CTSS,548,0.37716640642465465,driver_antagonize,Stim8hr,0.29835498,0.4971398855954238,0.3504628177407018,0.15,0.5,-0.52291423,-3.378813,0.012387494797421052,-12.059397855121215,moderate,0.3504628177407018,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,3,ENSG00000163131
SOCS7,549,0.3770509620384816,brake_agonize,Stim8hr,0.6617706,0.8060322412896516,0.0,0.15,0.5,0.59769326,4.1018424,0.0017371131691468504,-10.587236611597612,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000274211
IFI27L1,550,0.37687415496619864,brake_agonize,Stim8hr,0.8492409,0.8055122204888195,0.0,0.15,0.5,0.64015484,4.0987573,0.0017431979428626195,-6.1008678172789095,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000165948
EMC7,551,0.3766973478939158,brake_agonize,Stim48hr,0.772911,0.8049921996879875,0.0,0.15,0.5,0.73077196,4.098335,0.0031718901846745293,-26.332877942255667,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000134153
DOLK,552,0.37652054082163294,driver_antagonize,Stim8hr,0.8094078,0.8044721788871555,0.0,0.15,0.5,-0.60064954,-4.096007,0.0017540293869397444,-6.587308394190879,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000175283
ADIPOR2,553,0.37634373374935,brake_agonize,Stim8hr,0.38724124,0.8039521580863235,0.0,0.15,0.5,0.5143702,4.093002,0.0017675581058629497,-14.305651009764542,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000006831
CCSAP,554,0.37616692667706714,brake_agonize,Rest,0.670624,0.8034321372854915,0.0,0.15,0.5,0.6134544,4.091676,0.004240212010117746,-5.41426518484491,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000154429
MTO1,555,0.3759901196047843,driver_antagonize,Stim8hr,0.3285749,0.8029121164846594,0.0,0.15,0.5,-0.6632775,-4.0914087,0.0017685541673659437,-12.564773149271517,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000135297
NRP2,556,0.37581331253250133,driver_antagonize,Stim48hr,0.63850397,0.8023920956838273,0.0,0.15,0.5,-0.53987175,-4.091362,0.0032468619059937854,-5.254846326059495,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000118257
SLC2A6,557,0.3756365054602184,driver_antagonize,Stim8hr,0.2315622,0.8018720748829953,0.0,0.15,0.5,-0.50390786,-4.088666,0.0017814835655644747,-3.076124122055151,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000160326
METTL9,558,0.3751060842433697,driver_antagonize,Stim8hr,0.6527226,0.8003120124804992,0.0,0.15,0.5,-0.60422814,-4.0852275,0.001788769224643606,-12.831245524791337,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000197006
MORC2,559,0.37492927717108687,driver_antagonize,Stim48hr,0.58597744,0.7997919916796672,0.0,0.15,0.5,-0.6748646,-4.0813613,0.003344905723526329,-11.903075455438644,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000133422
SNX19,560,0.374752470098804,driver_antagonize,Stim48hr,0.7824809,0.7992719708788352,0.0,0.15,0.5,-0.56120676,-4.0781274,0.0033669247469109874,-10.921560843028471,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000120451
SEPTIN8,561,0.374475184033298,brake_agonize,Stim48hr,0.5870996,0.1440457618304732,0.7416654167031236,0.15,0.5,0.5158308,2.956894,0.04322598322056726,-15.542024127953637,strong,0.7416654167031236,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000164402
ZNRF2,562,0.3743988559542382,brake_agonize,Rest,0.85603845,0.7982319292771711,0.0,0.15,0.5,0.665371,4.074999,0.004477297321701262,-9.61917194661708,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000180233
ABRAXAS2,563,0.37422204888195537,driver_antagonize,Stim48hr,0.72450066,0.7977119084763391,0.0,0.15,0.5,-0.5539669,-4.0703425,0.0033947176943796365,-4.730830105422178,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000165660
DEK,564,0.3740452418096724,brake_agonize,Stim8hr,0.79910064,0.797191887675507,0.0,0.15,0.5,0.7494139,4.066646,0.0019170201788750144,-18.933552382844752,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000124795
CDKN2AIP,565,0.3736916276651066,driver_antagonize,Rest,0.47598916,0.7961518460738429,0.0,0.15,0.5,-0.6117421,-4.062012,0.00468399088896195,-8.652133904749588,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000168564
SOAT1,566,0.37351482059282376,driver_antagonize,Stim8hr,0.43291283,0.7956318252730109,0.0,0.15,0.5,-0.50140387,-4.0619106,0.001938877336867989,-28.42604072947121,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000057252
STIP1,567,0.37343337377341174,driver_antagonize,Stim48hr,0.711799,0.43525741029641185,0.408152847575439,0.15,0.5,-0.78230596,-3.2948809,0.022941161643249868,-18.10570482241809,moderate,0.408152847575439,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000168439
PIP5K1A,568,0.37316120644825795,driver_antagonize,Stim48hr,0.7185979,0.7945917836713469,0.0,0.15,0.5,-0.64420855,-4.0613136,0.0035062616079132728,-29.306914617879496,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000143398
CCR2,569,0.37309461435663854,driver_antagonize,Stim8hr,0.7253542,0.3827353094123765,0.4665486971881019,0.15,0.5,-0.4450885,-3.219898,0.01780798628276891,-7.025409808816682,moderate,0.4665486971881019,False,,,,,,GPCR,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,3,ENSG00000121807
BCORL1,570,0.3729843993759751,driver_antagonize,Rest,0.44351393,0.7940717628705148,0.0,0.15,0.5,-0.5105886,-4.060495,0.00468399088896195,-3.495865828369706,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000085185
GLRX3,571,0.37280759230369215,driver_antagonize,Stim48hr,0.70689774,0.7935517420696828,0.0,0.15,0.5,-0.59775645,-4.0583873,0.0035280095276626062,-7.384267836524421,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000108010
SNAP47,572,0.3726307852314093,driver_antagonize,Stim8hr,0.813792,0.7930317212688508,0.0,0.15,0.5,-0.54209346,-4.0571837,0.001968612122314113,-15.91062741644425,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000143740
CD3G,573,0.3722771710868435,driver_antagonize,Stim8hr,0.94895,0.7919916796671866,0.0,0.15,0.5,-1.6951259,-4.0491066,0.0019894419661528914,-12.164764217189468,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000160654
LIPA,574,0.37210036401456065,brake_agonize,Stim8hr,0.45430398,0.7914716588663546,0.0,0.15,0.5,0.5628144,4.047365,0.0019907989157587473,-9.112088208136472,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000107798
AFAP1L2,575,0.3719235569422777,driver_antagonize,Stim48hr,0.6706503,0.7909516380655226,0.0,0.15,0.5,-0.690063,-4.0447097,0.003648600361886479,-3.491919870381041,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000169129
F8A1,576,0.37174674986999484,driver_antagonize,Stim48hr,0.35053426,0.7904316172646906,0.0,0.15,0.5,-0.6095452,-4.0446763,0.003648600361886479,-1.354527891986362,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000288722
CDKN2AIPNL,577,0.3715699427977119,driver_antagonize,Stim48hr,0.38177413,0.7899115964638586,0.0,0.15,0.5,-0.6795122,-4.042685,0.0036571605971616075,-18.151785599934296,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000237190
ARF4,578,0.37139313572542904,driver_antagonize,Stim8hr,0.6421548,0.7893915756630265,0.0,0.15,0.5,-0.6556091,-4.040252,0.002031955066533335,-10.85828881723755,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000168374
ZNF688,579,0.3712163286531462,driver_antagonize,Stim8hr,0.70474344,0.7888715548621945,0.0,0.15,0.5,-0.5346587,-4.039965,0.002031955066533335,-3.3643406837985617,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000229809
MTX2,580,0.37103952158086323,driver_antagonize,Stim8hr,0.7365873,0.7883515340613625,0.0,0.15,0.5,-0.5393139,-4.0397053,0.002031955066533335,-9.655007222392667,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000128654
CASP8,581,0.3708848376380897,driver_antagonize,Stim8hr,0.7988553,0.2548101924076963,0.6041645740649099,0.15,0.5,-0.46770537,-3.0852704,0.023960794497000608,-6.437033317165325,strong,0.6041645740649099,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,3,ENSG00000064012
CPQ,582,0.3708627145085804,driver_antagonize,Stim8hr,0.5673356,0.7878315132605305,0.0,0.15,0.5,-0.55586857,-4.033923,0.002073344414683247,-2.3001182375987907,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000104324
HTT,583,0.3708190618718756,driver_antagonize,Stim48hr,0.54884434,0.3203328133125325,0.5296863511520485,0.15,0.5,-0.5889281,-3.1556962,0.030459758338918914,-22.72392319155433,strong,0.5296863511520485,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000197386
AMDHD1,584,0.3706859074362974,driver_antagonize,Stim48hr,0.6575323,0.7873114924596983,0.0,0.15,0.5,-0.5601935,-4.0325003,0.0037960944896422684,-1.0065157169140684,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000139344
NCOA3,585,0.3705091003640146,driver_antagonize,Stim8hr,0.581784,0.7867914716588663,0.0,0.15,0.5,-0.59663826,-4.0309525,0.002092798278749997,-13.847689541089087,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000124151
RUSF1,586,0.37033229329173173,driver_antagonize,Stim48hr,0.6295233,0.7862714508580343,0.0,0.15,0.5,-0.57536846,-4.0290036,0.003829643514527967,-18.190150151410435,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000140688
CMC2,587,0.37015548621944877,brake_agonize,Stim8hr,0.53438854,0.7857514300572023,0.0,0.15,0.5,0.63846785,4.0232882,0.002155001204928971,-11.083962496606985,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000103121
SNAP23,588,0.3699786791471659,brake_agonize,Rest,0.5612662,0.7852314092563702,0.0,0.15,0.5,0.60186344,4.021898,0.00525492766838817,-10.184029789884198,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000092531
CHD2,589,0.3698018720748831,brake_agonize,Stim8hr,0.64804953,0.7847113884555382,0.0,0.15,0.5,0.66181016,4.0214357,0.0021578262996808494,-9.50386450316458,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000173575
ARHGEF6,590,0.36944825793031727,driver_antagonize,Stim48hr,0.5828376,0.7836713468538742,0.0,0.15,0.5,-0.60776925,-4.0137534,0.003989120317902055,-26.383477587464853,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000129675
ATP6V0E1,591,0.3692714508580343,driver_antagonize,Stim8hr,0.83616257,0.7831513260530422,0.0,0.15,0.5,-0.56141824,-4.013206,0.002219980080797387,-24.37295338804201,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000113732
NTPCR,592,0.36909464378575146,brake_agonize,Rest,0.8618356,0.7826313052522101,0.0,0.15,0.5,0.5633665,4.0127215,0.005419810020827657,-6.783813957850853,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000135778
PDCD2L,593,0.3689178367134685,brake_agonize,Rest,0.62035257,0.782111284451378,0.0,0.15,0.5,0.94638926,4.006647,0.005473463785769919,-7.9704341165895745,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000126249
TMEM60,594,0.36874102964118566,brake_agonize,Rest,0.9784062,0.781591263650546,0.0,0.15,0.5,0.47016063,4.0023804,0.005486739903359247,-10.16694282927709,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000135211
AIMP2,595,0.3685642225689028,brake_agonize,Stim8hr,0.6848053,0.781071242849714,0.0,0.15,0.5,0.61860526,4.0007906,0.0023321771000062723,-20.65709776968741,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000106305
FPGS,596,0.36838741549661985,driver_antagonize,Stim48hr,0.44017386,0.7805512220488819,0.0,0.15,0.5,-0.5692554,-3.9998891,0.004205302269197384,-10.69775274397214,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000136877
FKBP15,597,0.368210608424337,driver_antagonize,Rest,0.43943638,0.7800312012480499,0.0,0.15,0.5,-0.56103075,-3.9985988,0.005530583191080443,-3.758533874126548,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000119321
KLHL17,598,0.36803380135205416,brake_agonize,Stim8hr,0.8322123,0.7795111804472179,0.0,0.15,0.5,0.5301577,3.9976523,0.0023478885541159565,-7.103060646727744,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000187961
ZBTB16,599,0.3678569942797712,brake_agonize,Rest,0.808926,0.7789911596463859,0.0,0.15,0.5,0.57098776,3.9968555,0.005530583191080443,-2.161384726719207,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000109906
ZNF700,600,0.3675033801352055,driver_antagonize,Stim8hr,0.7798301,0.7779511180447218,0.0,0.15,0.5,-0.5615249,-3.996074,0.0023478885541159565,-3.267813623680872,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000196757
OAZ1,601,0.36732657306292255,driver_antagonize,Stim8hr,0.79795414,0.7774310972438897,0.0,0.15,0.5,-0.6207559,-3.995982,0.0023478885541159565,-4.473097362849211,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000104904
PANX2,602,0.3671497659906396,driver_antagonize,Stim8hr,0.5607791,0.7769110764430577,0.0,0.15,0.5,-0.5985419,-3.9954007,0.0023478885541159565,-1.948612958644695,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000073150
RICTOR,603,0.36697295891835674,driver_antagonize,Stim48hr,0.67257404,0.7763910556422257,0.0,0.15,0.5,-0.68596643,-3.9950092,0.004267763612407439,-10.73779904750624,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000164327
PRF1,604,0.36661934477379093,driver_antagonize,Rest,0.5835133,0.7753510140405616,0.0,0.15,0.5,-0.59389305,-3.988245,0.005648922688973507,-16.438578851512876,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000180644
PHLDA3,605,0.3664425377015081,driver_antagonize,Stim48hr,0.42595524,0.7748309932397296,0.0,0.15,0.5,-0.6104139,-3.987484,0.004379763803340707,-4.917319520456393,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000174307
SLC29A3,606,0.36634468989337926,driver_antagonize,Stim8hr,0.6412542,0.1393655746229849,0.7198679817385478,0.15,0.5,-0.4199153,-2.9495282,0.03192383388423537,-8.101128483547514,strong,0.7198679817385478,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,3,ENSG00000198246
AP1M1,607,0.36626573062922524,brake_agonize,Stim8hr,0.77381337,0.7743109724388976,0.0,0.15,0.5,0.62537867,3.9848747,0.002424205022658023,-13.050688972235298,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000072958
MSANTD3,608,0.3660889235569423,driver_antagonize,Stim8hr,0.41263908,0.7737909516380655,0.0,0.15,0.5,-0.5621307,-3.9848115,0.002424205022658023,-8.435188049186788,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000066697
FBH1,609,0.3660227027960152,brake_agonize,Stim48hr,0.83957326,0.5460218408736349,0.2579175896632644,0.15,0.5,0.47084653,3.4607418,0.01554208173918376,-17.73361719602497,moderate,0.2579175896632644,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000134452
SLAMF6,610,0.36542234345411634,driver_antagonize,Stim48hr,0.51435864,0.19708788351534062,0.6513748768630017,0.15,0.5,-0.46306214,-3.0202854,0.03873914746922171,-13.944366253607742,strong,0.6513748768630017,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000162739
PEPD,611,0.3653816952678108,driver_antagonize,Stim48hr,0.8148388,0.7717108684347374,0.0,0.15,0.5,-0.6260764,-3.9811363,0.004421288060238984,-8.879989883809579,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000124299
CUEDC2,612,0.3652048881955278,brake_agonize,Rest,0.7773939,0.7711908476339053,0.0,0.15,0.5,0.68066114,3.9793801,0.0056997609925927804,-24.774068944899888,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000107874
